epoch,train_loss,validation_loss,learning_rate,seconds
1.0,3.119543944335712,1.9543435003213208,0.0003,20.503952647000006
2.0,1.8148221713484043,1.6518395112136155,0.0002999917754048268,18.317135758000177
3.0,1.6891473263541747,1.584098643210978,0.0002999671025212268,19.83738819899986
4.0,1.6269018903029608,1.5178023506418348,0.0002999259840548597,18.874224086999902
5.0,1.5318504427195152,1.4702556578154307,0.00029986842451482874,18.341302827999925
6.0,1.4976120490869727,1.4330162943604008,0.000299794430213186,20.022721772000068
7.0,1.4623105897415853,1.4108617432910486,0.0002997040092642407,18.622468287999936
8.0,1.4294748042635301,1.393071056256809,0.0002995971715836687,21.76225737599998
9.0,1.4225123619572055,1.382441916375821,0.00029947392888742566,20.68592350000017
10.0,1.4193964149772935,1.3445986635751817,0.000299334294690462,18.71731610500001
11.0,1.3839848552600396,1.3150727076269921,0.00029917828430524096,19.07544902000018
12.0,1.3617368997523187,1.296786045058288,0.0002990059148400594,19.495055101000162
13.0,1.3237444773950715,1.2686484734103918,0.0002988172051971717,20.042503188999945
14.0,1.3357308658240854,1.2558043460297872,0.0002986121760707165,19.186014805000013
15.0,1.3015821828002179,1.2473481654324745,0.0002983908499444482,19.257328244000064
16.0,1.2901787477368438,1.2332576169123026,0.00029815325108927063,19.051170946999946
17.0,1.282419869885957,1.2221060451926267,0.0002978994055605757,19.789191591999952
18.0,1.260484404345347,1.2081104452165043,0.0002976293411953862,19.87933758300005
19.0,1.258124496634035,1.1995502877961455,0.00029734308760930326,18.54014970900016
20.0,1.2462605640403368,1.182871645257238,0.0002970406761932582,18.61246838199986
21.0,1.2285774210363805,1.1759553183196403,0.00029672214011007076,20.40508226100019
22.0,1.2242516671371892,1.1667957550979366,0.000296387514290812,22.538557124000135
23.0,1.2020094463125708,1.1599223101320546,0.0002960368354309739,20.877203208000083
24.0,1.2035954052555722,1.1447408357643702,0.00029567014198644527,18.70147272899999
25.0,1.1944623833662564,1.1361987991780493,0.0002952874741692945,19.680517681000083
26.0,1.1622391800248821,1.1256279705990755,0.0002948888739433601,18.623722785000155
27.0,1.1787646150928566,1.116433464657737,0.00029447438501964857,19.06648760600001
28.0,1.1600318457468841,1.1007610980787146,0.0002940440528515413,19.484693890000017
29.0,1.1467657284943906,1.088017487007127,0.00029359792462980993,19.31488712400005
30.0,1.1460218106850004,1.0761061536488028,0.0002931360492774414,19.08735518000003
31.0,1.113027120120394,1.0606572100410216,0.0002926584774442729,19.315855356000156
32.0,1.1002679879304131,1.045670884635537,0.00029216526150143774,19.615513577
33.0,1.0930939934867607,1.020896686624007,0.00029165645553562203,18.832119628000328
34.0,1.0776182717622458,1.0120591614354932,0.0002911321153431337,18.965046360000088
35.0,1.0674302384819834,0.9923988832239888,0.00029059229842378357,19.35216850500001
36.0,1.0484384320885762,0.9781961673265273,0.00029003706397458007,17.74513552899998
37.0,1.057944110028364,0.9699464448562318,0.00028946647288323756,19.63144796100005
38.0,1.052699103214637,0.9546602247113558,0.0002888805877214991,18.760568329999842
39.0,1.0496544267654129,0.956811226093453,0.00028827947273827497,20.955101822000415
40.0,1.0034793833971338,0.9410444519101084,0.0002876631938525971,19.08962035100012
41.0,1.0184146549106365,0.9355393522868667,0.00028703181864639,18.681465566000043
42.0,1.0102937104038023,0.9274290831952242,0.0002863854163570602,18.77510826400021
43.0,0.9671913054631168,0.91618538476915,0.0002857240578699029,19.629242454999712
44.0,0.9821795720169227,0.9215030532374001,0.000285047815710329,19.254313862000345
45.0,0.9899209633735337,0.9132100595442092,0.0002843567640359119,19.55933878499991
46.0,0.9882381944472978,0.9069975181453972,0.00028365097862825513,18.439787257999797
47.0,0.97732340341579,0.9001605528681179,0.00028293053688468214,18.555766407999727
48.0,0.9815208604567633,0.9002792982346878,0.00028219551780974875,19.996048021000206
49.0,0.9561156951071431,0.893114156744485,0.0002814460020065795,18.876692780999747
50.0,0.95505388615559,0.8944597254408997,0.0002806820716680284,21.117424896000102
51.0,0.9451755934635941,0.8875653197917942,0.0002799038105676658,20.70221711100021
52.0,0.9489527173519534,0.8853174980754633,0.0002791113040505915,20.022091007999734
53.0,0.9269326482502077,0.8812122395732467,0.00027830463902407595,20.91922932699981
54.0,0.9684920379898927,0.8849300822422128,0.0002774839039480296,18.58657623299996
55.0,0.9470283153636142,0.8766035488510421,0.00027664918882530225,20.399006982000174
56.0,0.9386828877715264,0.8742499498380774,0.0002758005851918136,18.73676752900019
57.0,0.9513579384364572,0.8788353089002858,0.0002749381861065149,18.7178645099998
58.0,0.9365650505218645,0.8722352301546676,0.00027406208614118424,19.687962414999674
59.0,0.9316768601274513,0.8650060525964157,0.00027317238137005556,19.1822770079998
60.0,0.9297786073822228,0.8622379089778437,0.00027226916935928306,20.021683810000013
61.0,0.9128292285356356,0.8592102502215674,0.00027135254915624206,19.15279461
62.0,0.9274174101816131,0.8569388109562265,0.0002704226212786671,18.89868080899987
63.0,0.910573476923428,0.851246136307947,0.00026947948770362937,18.792971068000043
64.0,0.924625308332148,0.8516247004818044,0.00026852325185635343,18.98317304400007
65.0,0.9286682888429084,0.8566139738708576,0.0002675540185988759,18.703489352999895
66.0,0.9177329407019386,0.8514403846682472,0.00026657189421854557,18.388902185000006
67.0,0.9113840680774458,0.8461865561509367,0.0002655769864163683,21.67126380200034
68.0,0.9041944056786154,0.8472873581928776,0.00026456940429519626,19.972679235000214
69.0,0.9236282463211738,0.8432027825255952,0.00026354925834776334,19.544177438000133
70.0,0.9046841403256987,0.8457348287069588,0.0002625166604445688,20.041767405999963
71.0,0.9220380284624631,0.8602806752442655,0.00026147172382160903,18.994884823999655
72.0,0.9273299671352976,0.8550084217012262,0.00026041456306796003,19.68047291699986
73.0,0.907437098521674,0.842807947682949,0.0002593452941132116,18.61785063499974
74.0,0.8996621455327272,0.8399588820118598,0.0002582640342147542,19.006089515999975
75.0,0.9236297164151772,0.8379982019630227,0.00025717090194492037,18.78584480299969
76.0,0.9167478343886315,0.8399812966334864,0.000256066017177982,21.02467164999962
77.0,0.9083813571023132,0.8336429742463486,0.00025494950107700473,19.59971526399977
78.0,0.8859987057735494,0.8296094364129456,0.0002538214760805609,18.449983840000186
79.0,0.8987644739518102,0.8350148532239617,0.0002526820658893032,19.835291736000272
80.0,0.8895687851774555,0.8309182739417571,0.00025153139545239895,18.306344499999796
81.0,0.9083534920260714,0.8287343176513816,0.0002503695909538286,18.4972056040001
82.0,0.9005396482119248,0.8273585675361055,0.00024919677979854765,17.951848717999837
83.0,0.8959276339331932,0.8244432523981692,0.0002480130905985157,19.279223971999727
84.0,0.8760686412129601,0.8273131146439603,0.00024681865315859247,18.135091912000007
85.0,0.8839689394592544,0.8244435950099828,0.00024561359846230336,18.85829171899968
86.0,0.889999718457673,0.824992404325077,0.0002443980586574755,18.45910769000011
